text,bias
"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",0
"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his lens, demonizing sports like football does more harm to American children than good.",0
Disney’s executives stopped advertising on Tucker Carlson’s television show as he repeatedly urged President Donald Trump to shut down their pipeline of H-1B visa workers into the white collar jobs that would otherwise go to Americans.,0
"Paul Whelan, the former U.S. Marine held in Moscow on spying charges, had online contact with more than 20 Russians with military backgrounds, an analysis of social media shows.",0
"Franciscan friar Father Daniel Horan, a pro-LGBT priest and professor who will be speaking at the upcoming Los Angeles Religious Education Congress, took to Twitter this weekend to bash the March for Life and condemn without trial a group of white Catholic high school boys as “racists” for supposedly “taunting” a Native American man beating a drum.",1
"Christians in eastern Uganda are among those in their faith who face the most serious dangers in the world, according to World Watch Monitor, a group that tracks persecutions of Christians.",0
"To show how absurd Trump’s claim of absolute immunity from investigation is the Republicans cite Jeremy Bentham, the 18th and 19th Century British economist and legal reformer:",1
"On the heels of winning the female Ballon d’Or award on Monday, Rapinoe demanded that male soccer stars speak up on her political causes.",0
The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements was charged on Wednesday with assault after livestreaming himself shoving the lawmaker in a sidewalk confrontation in Sacramento.,0
"Only one in five U.S. taxpayers expects to pay less income tax this year as a result of the tax reform law passed in 2017 by Republicans who promised big savings for everyday Americans, according to a Reuters/Ipsos opinion poll released on Friday.",0
"Warren, a U.S. senator from Massachusetts, estimates her healthcare overhaul will cost an additional $20.5 trillion in federal spending over 10 years without the need to raise middle-class taxes, a claim questioned by some of her rivals in the 2020 White House race.",1
"The moment Barack Obama embraced and legitimized the left-wing terrorists in Occupy Wall Street (that have now morphed into Antifa and Black Lives Matter), I toldjaso.",1
"The Labour politician, who has presided over an epidemic of violent crime — particularly knife crime — and the extension of London’s illegal drugs trade into surrounding areas ...",1
"While the piece fairly analyzes the fracturing of the white nationalist movement, it makes the bizarre claim that ideas that are widely popular amongst mainstream conservatives, such as ending affirmative action, are actually white nationalist in origin.",1
U.S. immigration officials on Monday deported an Iranian student headed to a Boston university despite efforts by the American Civil Liberties Union and other advocates to block the removal.,0
"Trump was a major factor in the early rumblings of white nationalism on the network, which gave him considerable airtime during his reality TV days to air conspiracy theories about Barack Obama’s birth certificate.",1
"This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.",0
"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank.",1
It was language distinctly reminiscent of white mobs bitter about the failure of local law enforcement to execute Blacks accused of crimes.,1
"Yes, there may still be time for the union's membership to change its thinking if the players reject the proposal, but at least one marketing expert said a ""no"" vote now could mean short- and long-term disaster.",0
The difficulties caused to workers by record unemployment during the pandemic are a product of capitalism. ,0
"In part, it seems, this is because Trump is hoping he can defuse the impact of the outbreak on his own fortunes through force of will.",1
"In September, Trump made roughly his ten-zillionth claim that he had a ""much better"" health care plan than Biden, despite having no health care plan. ",1
"Hillary’s letter is painful. It’s riddled with stilted speech and a weak attempt to use swear words like that other future has-been who at least can kind of skateboard and pretend to air drum. Whether or not you agreed with Trump’s approach, at least his fondness for cuss words is authentic, something Hilldog struggles with.",1
"Victoria’s Secret spring campaign featuring transgender and plus-sized models marks a dramatic shift toward progressive feminism for Victoria’s Secret, which has been roiled by management changes in the past year.",1
Trans Women Are Women': Daniel Radcliffe Hits J.K. Rowling for Opposing Woke Gender Theory,0
"The utter failure of private capitalism to prepare for the coronavirus should have surprised no one. Private capitalism, as business school graduates repeat, focuses on profit. The “profit incentive,” they learn, makes private capitalism the superior, “most efficient” economic system available.",1
"And he angrily demanded credit for having restricted travel from China earlier, saying that subsequent events had vindicated him — a typical egomaniacal gesture from the president.",1
"Yet Biden finds himself in an increasingly competitive race with Sanders, the U.S. senator who came close to winning the 2016 Nevada caucus and finds support with some of the same voters.",0
"If sports don’t trump religion as the opiate of the masses, they have, until recently, been at least the background music of most of our lives.",0
"NBC cited Center for Countering Digital Hate, a group claiming to fight “hate and misinformation” online.",1
"Ever since, Sanders has portrayed himself as a champion of gun control.",0
They see the pandemic as societal breakdown and therefore an opportunity to get out their guns and finally shoot all those liberals that they have wanted to kill for a very long time.,1
"New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that “PHEAA’s abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.”",0
"Trump regularly uses Twitter to attack his political enemies, including the late Sen. John McCain, deride media outlets like CNN and he has retweeted unverified anti-Muslim videos.",0
"The U.S. Internal Revenue Service on Friday said it was sending thousands of letters to taxpayers who failed to report virtual currency transactions, saying they may owe taxes.",0
"In New York City, the national epicenter of the disease, the same racialized outcomes are observed, with more African Americans being hospitalized and dying from the disease than any other racial group, followed by Latinos.",1
"Imagine a world where over one-half of the members in the Republican House of Representatives, including the top Republican in that caucus, sign on to a clumsy, thoroughly bogus attempt to overturn a national election based on contrived lies that add up to nothing except the fact that their man lost. ",1
"AOC, like all powerful women, has to go through a rigorous beauty regimen simply to exist in the public eye.",0
"In June, an explosive early morning fire rocked the Philadelphia Energy Solutions refinery, terrifying nearby residents.",0
Vice President Mike Pence denied that systemic racism is an issue in the USA.,0
"But the wealthy have a clear incentive to make minor tweaks to the existing system instead of overhauling it to create a truly sustainable society because they profit from the world as it is, not as it could be.",0
"Justice Sonia Sotomayor, in her dissent, accused the majority of weaponizing the First Amendment — an unconscionable position for a person tasked with “faithfully and impartially” discharging the duty to protect the inherent rights of all Americans. The dissenters have perverted the intent of the Founders. It’s none of Sotomayor’s business how we use free expression. It’s her business to protect it.",1
"By the time Officer Joseph Ferrigno shot a Black man from behind, court records show, the Rochester cop had drawn at least 23 misconduct complaints in nearly nine years on the force",0
The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.,0
"The vaccine was consequently linked to the death of numerous children, leading to a criminal investigation, two congressional inquiries, and a sharp decline in the number of parents getting their children vaccinated. ",0
"Healthcare “experts” are telling us the coronavirus is lethal if you want to go to work, school, or your grandmother’s funeral, but not so lethal if you are out en masse to support “approved” causes.",1
"Tesla warned on Jan. 30 that it would see a 1-1.5 week delay in the ramp-up of Shanghai-built Model 3 cars as a result of the epidemic, which has severely disrupted communications and supply chains across China.",0
"Trump had been responding to a question about his health care policy. Since he knows almost nothing about health care policy and cares even less, he launched into a meaningless and obfuscatory rant about how his administration will supposedly protect pre-existing conditions.",1
"Trump's decision to remove the troops near the Turkish border has allowed Turkey to lodge an attack on U.S. Kurdish allies who helped in the fight against the Islamic State terrorist group, also known as ISIS.",1
The group claims “systemic racism” has made it difficult for black individuals to obtain birth control and enjoy “reproductive freedom.”,1
"The wealthy are quite reasonably reluctant to give away more of their money than they have to and would simply move to more tax friendly jurisdictions, thus meaning the governments in high tax jurisdictions would have less to spend on worthy projects.",0
"In Francis, Thunberg has found a kindered spirit. The Jesuit pope has made fighting climate change and caring for God's creation a pillar of his papacy.",0
"Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.",0
A woman who was the victim of a brutal gang rape attack in 2007 has spoken out about her ordeal and her attacker not being deported thanks to passengers aboard his flight.,0
"Defense Secretary Mark Esper has issued a policy ushering in a de facto ban on displaying the Confederate flag at U.S. military installations around the world by authorizing only certain flags that promote unity, according to a copy of his memo, seen by Reuters on Friday.",0
"That was because stingy lawmakers, mostly Republicans but some Democrats, refused to enact the full stimulus package former President Barack Obama's economic advisers sought using the same economic principles as I.",1
U.S. civil rights groups have enlisted the multinationals to help pressure the social media giant into taking concrete steps to block hate speech in the wake of the death of George Floyd and amid a national reckoning over racism.,0
"Reilly also suggested that Trump’s “grudge” against Puerto Rico correlates with a soured golf course deal on the island, and explained why the sport may be responsible for Trump’s embrace of a wild conspiracy theory about wind turbines causing cancer.",1
"Once powerful Hollywood producer Harvey Weinstein was charged in Los Angeles on Monday on sex crime charges just hours after he appeared in a New York court for the start of his rape trial, which has become a focal point for the #MeToo movement.",0
"They will not do that by making the Department of Justice even less accountable to elected officials, as Democrats are demanding. They will do it by slashing and burning the bureaucracy and its powers. Government by and for the people will perish from the earth if unelected officials are capable of weaponizing government against the people’s elected representatives.",1
"But rather than appreciate the fact that Asian-American women are considered highly attractive, Lim sees only a sneaking racial bias, a reflection of our upside-down cultural world where victimhood and oppression carry more social currency than even beauty and success.",1
"As the COVID-19 virus spreads in the USA and around the world, officials at the U.S. Centers for Disease Control and Prevention encourage people to work from home as a way to help cut back contagion.",0
Miami recently declared a climate emergency since it faces an existential threat as it battles rising sea levels and increasingly violent Atlantic storms.,0
Last week Trump posited in an interview that Iran had been poised to attack four American embassies before Soleimani was killed in a U.S. drone strike on Jan. 3.,0
"The issue isn't whether farmers need or deserve aid but whether we recognize that we are one society that must care for all its people, wherever they live and whatever their political allegiances.",0
"The United States is a failed democracy and a mafia state, the natural result of what happens when capitalism is deregulated.",1
President Donald Trump last month unveiled a “blueprint” to reduce drug prices by promoting the entry of cheaper rivals to existing drugs and giving private insurers more scope to negotiate prices.,0
"Anti-Vaxxer Rebecca Dalelio, 43, was taken into custody after she tossed a menstrual cup, which she said was filled with blood, from the public gallery as senators finished taking a vote at about 5:14 p.m.",0
"So you have the New York Times, the Tax Policy Center and — AND — the godless liars at PolitiFact admitting “Biden’s plan would mean higher taxes on average for all income groups,” and the ad is rated still “mostly false.”",1
The movement’s hysteric leader proceeded to hush the crowd so the mayor’s answer could be heard across the streets so they could vote him out next year if he bowed to their anarchic demands.,1
De Niro's Tribeca Festival Yanks Anti-Vaccination Film...,0
The dumbest person alive': Video reveals how painfully and dangerously wrong Trump has been about the coronavirus,1
"And in no sane world is Harris a moderate, but that is how the New York Times cast her in its continuing delusional coverage of the election.",1
"The unions and Democrats claim that money is the problem, even though the decrepit schools of Baltimore rank third in the U.S. for per-capita spending. ",1
The Age of Conspiracy Theories in which we are now immured has produced a kind of bastard offspring: the Shared Violent Fantasy. ,1
"Health care and education costs have also outpaced inflation, that has left many in the middle class struggling to pay their bills day-to day: More than 20% of middle-income households spend more than they earn, the report says.",0
Hundreds of cops packed a California church Saturday in final salute to police officer Ronil Singh who was killed the day after Christmas when he stopped an illegal immigrant suspected of driving drunk.,0
"Right-wing President Jair Bolsonaro has strongly advocated the use of the hydroxychloroquine for early treatment of the coronavirus, echoing U.S. President Donald Trump.",0
President Trump sought to play down the threat from coronavirus and announced Vice President Mike Pence would be his point person to coordinate government efforts to prevent a widespread outbreak.,1
What will stop the hyper sexualization of our children by the counterfeit sexual freedom culture?,1
"Trump likes to tell this story with vivid and completely made-up details about swaddling a baby in blankets before murdering it. The Senate held hearings in which anti-choice activist Jill Stanek — a crazed, racist liar who also claims Chinese people think aborted fetuses are a “delicacy” — claimed, almost certainly falsely, that she once witnessed a baby being killed this way. ",1
"Some 300 Thais and foreigners in Thailand and elsewhere joined an online protest against racism on Sunday, adding their voices to global calls for justice for black American George Floyd who died in U.S. police custody in Minneapolis last month.",0
"A mix of militia members, Confederate followers and supporters of President Donald Trump faced off against more than a hundred left-wing protesters, some armed, many carrying signs or wearing T-shirts supporting Black Lives Matter.",0
"The idea of imposing a wealth tax on the richest Americans has elicited sharply divergent views across a spectrum of politicians, with President Donald Trump branding it socialist and progressive Democratic presidential contenders Senators Elizabeth Warren and Bernie Sanders prominently endorsing it.",0
"Even if the wealth tax projections fall short, Zandi believes Warren may still be able to make up the difference through other taxes in her plan, including those on corporations and employers.",0
Everyone in the establishment media are working overtime to either cancel or terrorize Rowling into repudiating her beliefs.,1
"Despite a clear margin of victory for Biden, Trump has refused to concede.",0
"Physicians are fleeing the island as a financially strapped healthcare system, long treated less generously than the states under Medicaid and Medicare, squeezes their income.",1
"The Saudi Ministry of Justice made the announcement on Sunday that women in Saudi Arabia who have been divorced by their husband will now be notified of their new marital status by a text, suggesting the measure ends secret divorces – cases where Saudi men end a marriage without the knowledge of their former spouse.",0
"White nationalists also expressed excitement Tuesday about Trump's plan to use an executive order to end ""birthright citizenship,"" the automatic grant of citizen status to anyone born in the United States.",0
"On immigration, Klobuchar now supports a “path to citizenship” for illegal aliens — though she once took a harder line.",1
An Oklahoma Democrat elected Tuesday will make history as the first Muslim in the Oklahoma Legislature and the first nonbinary legislator in America.,0
"Malaysia’s health ministry called on Thursday for mass gatherings to be postponed after at least 12 coronavirus cases were linked to a three-day religious event in the capital attended by some 10,000 people from several countries.",0
"We don’t need to embrace full-on socialism communism, and Ocasio-Cortez is swift to say that, but the floor needs to come up and the ceiling needs to come down.",0
"While the stupid Democrats who vote for Democrats stress and worry  about another round of looting and burning this weekend in their Democrat-run cities, all I’m worried about is the weather.",1
But it’s getting increasingly difficult to maintain the myth that the enormous wealth inequality in not just American society but the entire world somehow reflect a system that’s fairly rewarding people for their talent and labor.,1
"The Trump regime appears to have given up on containing the outbreak and is just focusing on managing the political fallout. This week, the White House rejected its own sensible, science-based guidelines to re-open states, and Trump has left it up to governors to decide how and when to reopen their economies.",0
"Earlier, the Welt am Sonntag German newspaper reported that President Donald Trump had offered funds to lure CureVac to the United States",1
"Now, with Democrats in control of the House of Representatives after the midterm elections, and with states like New York and Virginia among others pushing boundaries on abortion to extremes, the Republicans in Congress is rolling out a long-term push to force the Democrats to hold a vote on the bill.",0
Rowe then dismantled each of Atkins’ unsubstantiated points. He lambasted celebrities for constantly broadcasting their political opinions as though their views have any impact on most Americans.,1
Germany tries to stop Trump from luring away firm working on coronavirus vaccine.,0
Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.,1
"The concept of changing one’s biological sex is, of course, nonsense, as sex is determined by unalterable chromosomes.",1
"One of China’s richest men, the founder of the Alibaba retail chain, went further, pledging the personal donation of a million facemasks and 500,000 virus test kits to the United States.",0
"On the other hand, it’s also true that men often use the “it’s not me, it’s the world” cover to discourage women’s dreams and ambitions, and often for self-serving reasons.",0
"The U.S. ambassador to Germany, Richard Grenell, doubled down on his defense of Vice President Mike Pence as Democratic presidential candidate Pete Buttigieg appears to have tried to put the feud with Grenell to rest.",0
Trump broadcasts his utter ignorance in the face of the coronavirus outbreak,1
"In a country where gun ownership and firearms training are seen by the far right as inalienable, all-American freedoms, the military is a ripe breeding ground for disaffected men looking for individual empowerment, a sense of belonging, and just such training.",1
"Few would consider a global pandemic reason to celebrate. In fact, many people are suffering, such as those out of work or others who were near retirement and now thrust back into a grueling role. But the pandemic does provide all of us an opportunity to rethink our life philosophies, and reorder our priorities.",1
Pompeo appeared hopelessly lost when WSMV’s Nancy Amon was far better prepared for an interview than he was.,1
"It is also worth noting that the “white nationalist” in question, Patrick Casey, does not claim to be a white nationalist but an identitarian activist, a group the far-left media regularly attack as racist.",1
"Group of 20 finance ministers agreed on Sunday to compile common rules to close loopholes used by global tech giants such as Facebook to reduce their corporate taxes, a final communique issued by the bloc showed on Sunday.",0
"In the case of student debt cancellation, they also force people to make painful choices: Does a young couple put off getting married to get their student debt reduced? Do they wait another year before taking good jobs, so that they qualify? Must a struggling young person stay away from his parents’ home and couch-surf for a year to obtain the benefit?",1
That’s why a new proposal from a bevy of progressive lawmakers comes as a welcome and innovative addition to the policy arsenal: increasing the corporate tax rate in accordance with the gap between CEO pay and median worker pay.,1
New York state Sen. Jacobs serves as one of the many Republican congressional primary candidates for New York’s 27th congressional district seat after former Rep. Chris Collins (R-NY) resigned after accusations of insider trading.,0
"Research shows combining vaccine misinformation with alternative medicine, homeopathy and diet content this way is one of the most pervasive and persuasive techniques used by anti-vaccination advocates to forward their agenda.",0
"But COVID-19 is shaking her views. The woman who would identify herself only as Stephanie, citing a fear of reprisals from committed anti-vaxxers, says she is now 50:50 on taking a vaccine should one be discovered for the respiratory disease caused by the new coronavirus.",0
The news coverage of the explosion of wealth among billionaires has been widespread because of the contrast with working Americans experiencing staggering layoffs.,0
"Pained and angry religious leaders warned Fort Worth, Texas, police they would scrutinize the investigation of an officer who shot and killed a 28-year-old black woman inside a home where, a family lawyer said, she had been playing video games with her 8-year-old nephew.",0
Trump and the GOP are desperately launching a war on American cities,1
Shupe acknowledged achieving the first “non-binary” sex designation was a win for the radical LGBTQ lobby.,1
Florida student says high school rejected pro-life club for 'controversial' views.,1
"The Trump administration has repeatedly said there is an ongoing “crisis” at the southern border and sought to deter migrants, many of whom were Central American families, from making the journey.",1
"Argentina has made significant progress on LGBT+ rights in recent years, in 2010 becoming the first country in Latin America to let gay and lesbian couples marry and adopt children.",0
"This prohibition is but the first portion of the implementation of I-1639, the gun control initiative pushed by millionaires and billionaires and passed by voters on November 6, 2018.",0
"Since then, drip by drip, other parts of the federal government have had their online content trimmed to omit mention of lesbian, gay, bisexual, transgender and queer people.",1
U.S. President Donald Trump’s former personal lawyer Michael Cohen said on Wednesday that Trump has not released his tax returns because he feared that public scrutiny would lead to an audit and tax penalties.,0
"Ocasio-Cortez, who beat a top Democrat in New York in the 2018 midterm elections, has since become the face of the “Squad,” freshman Democrats aiming to move the party farther left on issues such as healthcare and climate change.",0
"They back more gun control laws, deflecting blame and hoping that somehow making some 300 million guns disappear nationwide will prove to be easier than keeping children in their own cities away from stray bullets.",1
"Father Horan was one of the many voices from the Catholic Left who joined the mainstream media lynching of students from Covington Catholic High School this weekend, rashly judging them as racists without bothering to ascertain what actually happened, simply because some of the boys were wearing MAGA hats.",1
"Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights, parental love, and the trust between doctor and patient.",0
"The think tank, whose international patrons have included the NeverTrump “conservative” Bill Kristol and Iraq war cheerleader Richard Perle, smeared Geller and Spencer in a new report, titled “Free to be Extreme.”",1
President Donald Trump touted how his reversal of Obama-era regulations on the fossil fuel industry has led to the United States being the largest producer of oil and natural gas in the world during his State of the Union address on Tuesday at the U.S. Capitol.,0
"A senior official at the University of British Columbia has resigned after he liked a series of Tweets that criticized the Black Lives Matter anti-racism campaign, the university and local media said.",0
"In Wuhan’s Qiaokou district, at the Zirun Mingyuan apartment community where about 10,000 people live, men, women and children stood under umbrellas while elderly residents perched on stools as they waited to get tested at four sites set up in the middle of the compound.",0
"Human rights activists hailed the move as a major step forward for Ecuador’s LGBT+ community, which continues to face legal hurdles in the socially conservative country.",0
Harris suggested to CNN that Trump might seize on a vaccine - no matter how untested - to burnish his image.,0
"House Speaker Nancy Pelosi debuted a 1,120-page coronavirus rescue bill after Democrats tanked the Senate proposal on Sunday night.",1
Hispanic foreigners attending the town hall — Fox News Latino did not say whether they were legal or illegal aliens — told Obama they feared that federal Judge Andrew Hansen’s stay on Obama’s executive order will force them to return to their home countries.,1
"Protests against the death of an unarmed black man, George Floyd, at the hands of police in the United States have sparked a global debate about racial inequalities - putting pressure on major brands to do more to bring about change.",0
"Trump has threatened to deploy active-duty forces to combat protesters in U.S. cities, drawing rebukes from political leaders in both parties.",0
"In one week, the U.S.-Iranian confrontation heated up, culminating with the rocket attack on U.S. troops in Iraqi bases.",0
Russian President Vladimir Putin wished Donald Trump a swift recovery on Friday after the U.S. president tested positive for COVID-19.,0
"By supporting Medicare for All, ACP is supporting dramatic pay cuts for its members.",1
Floyd's funeral service took place at the Fountain of Praise Church in Houston.,0
"A top expert on viruses in the administration, Dr. Anthony Fauci, has been told by the White House not to speak publicly about the emerging coronavirus outbreak without permission, according to a report Thursday in the New York Times.",0
"In his ongoing effort to differentiate between himself and Bernie Sanders, Joe Biden is touting background checks but ignoring the fact they do not stop mass public attackers.",1
"The safe, heavily researched HPV vaccine remains tragically under-used — and anti-vaccine movies and conferences could make it more so if we’re not careful.",1
"Michael Mann, arguably the world’s no. 1 climate alarmist, goes on to make proclamations that only a publication as ideologically compromised as the Guardian would think to publish.",1
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,1
"The damages bankruptcy inflicts on debtors looks appealing to the twenty percent who say they’ll be in debt until they die. Obama’s proposed change could start a run that would greatly increase costs to the federal government and, by extension, taxpayers.",0
"In Haiti, President Bill Clinton admitted—after he left office—to a “devil’s bargain” on rice tariffs that was “good for some of my farmers in Arkansas,” but destroyed rice farming and generated hunger and malnutrition in Haiti.",0
"And no one could ever forget, or forgive, the attempted Democratic character assassination of Justice Brett Kavanaugh two years ago.",1
"Abortion is not justice, in fact, it’s the ultimate act of oppression, and we’re gonna take a stand for the voiceless children scheduled to die at Planned Parenthood today.",1
"In a tweet, which he quickly deleted, the president shared the now-viral clip while blaring: “WOW, BLOOMBERG IS A TOTAL RACIST!”",1
"Instagram and TikTok influencer Haneen Hossam, 20, is under 15 days detention for a post encouraging women to broadcast videos in exchange for money, while dancer Sama el-Masry faces 15 days detention for posting “indecent” photos and videos.",0
"The First Amendment is also not a priority for the right, for all its whimpering about ""freedom of speech.""",1
"As we got into the cab, our tow truck driver, a middle-aged man from Brooklyn, wasted only a few minutes before bringing up Trump with missionary zeal. He told us that he hated politics and hated politicians, but loved Donald Trump. Why? Because Trump is the only one speaking up for people like him.",1
Bevin’s downplaying of the necessity of vaccines is reckless — but deliberately infecting his children is much more so.,1
Hospitals across the country are laying off thousands of medical workers despite facing severe staff shortages as they treat an influx of patients infected with the coronavirus.,0
"The federal agents called in to protect the White House include riot-control teams from the federal Bureau of Prisons, who have been spotted in uniforms without badges or other identification, unlike other police officers.",0
"School systems across the country are adopting BLM curriculum at at alarming rate, indoctrinating our children to achieve Marxist objectives.",1
Hotez said anti-vaccine groups are seizing on the anti-government sentiment stoked by conservative-leaning protesters to advance their cause.,1
We finally know what it takes to get the House to examine gun violence: it’s not a mass shooting; it’s an election.,0
"The tweet comes on the heels of Trump’s hostile response to protests against racial injustice engulfing the United States following the death of Floyd, an unarmed Black man who died after a white police officer knelt on his neck for almost nine minutes in Minneapolis.",1
What the hell do you think is going to happen when you vote for the same political party that coddles and encourages these terrorists?,1
"Mafia exploitation of immigrants on farms in Italy is likely to rise as the coronavirus lockdown brings chronic labor shortages, the government and labor rights groups have warned.",0
"However, this intentionally cruel right-wing political maneuver is so unpopular -- especially today -- that there was no trumpeting of the legal filing by the White House to strike Obamacare. ",1
Of course these power-hungry leftists want us helpless and defenseless.,1
Oprah Schools Instagram Hater With Receipts After Student Loan Diss,0
"An Austrian BASE jumper was rescued in southern Thailand on Monday after his parachute became snagged on the rocky side of a near-vertical cliff, leaving the thrill-seeker dangling almost 600 feet above the ground for several hours.",0
Bernie Sanders’ 2020 presidential election campaign on Wednesday sought to use news the candidate had a heart procedure to highlight the benefits of his trademark Medicare for All healthcare plan.,0
President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.,1
"Celebrities have already pledged to donate more than $115 million to Black Lives Matter and various social justices causes, while various mega-corporations have pledged to donate more than $454 Million.",0
Parents and leaders must stop the hyper sexualization movement that aims to federally mandate their dangerous standards that objectify and place our children at risk of sexual coercion and life altering health risks.,1
"Surprisingly retained by Australians in a national election over the weekend, Prime Minister Scott Morrison’s center-right government now needs to find a fast way out of a worrying slowdown in an economy that has been recession-free since 1991.",0
Michael Kranish of the Washington Post also published a lengthy article detailing Bloomberg’s verbal diarrhea when it came to expressing his uglier views on women. ,1
"The march then continued to the United States embassy, where activists sat on the roads blocking access to the embassy for about an hour.",0
Trump has made the deliberate choice to be the “divider-in-chief” and created a mindset of “us vs. them” that is tearing our nation apart.,1
A solid majority of student loan borrowers in a recent survey said they would trade their 2020 vote for debt forgiveness.,0
"For AOC and her mobbing cohorts that have been seen disrupting meals in Pittsburgh, San Diego, D.C., and other American cities, the fight is too great for people to waste time enjoying their lives.",1
Police in Milwaukee on Thursday identified the five brewery employees shot and killed by a co-worker who later took his own life in the latest spasm of gun violence plaguing U.S. workplaces and schools.,1
An initiative to build bridges between the Greek and Turkish speaking communities of ethnically split Cyprus faltered after the leader of the breakaway Turkish Cypriots skipped a soccer match over a dispute of the game's location.,0
"Protests also took place in the German capital of Berlin, with Reuters reporting “several hundred” demonstrators with placards bearing slogans such as “Justice for George Floyd”, “Stop killing us”, and “Who’s neckst” [sic] rallying outside the U.S. embassy.",0
"The president, a onetime reality TV star, added some new surprises to the mix on Tuesday.",1
"Long before becoming president, Donald Trump was already acting as if he were the head of a lynch mob.",1
The former administration presented itself as a protector of students against mistreatment by student loan companies that were seeking to collect debts owed and were accused of abusing student borrowers to pad their own profits,1
Tens of thousands of Islamic faithful in Bangladesh defied coronavirus lockdown restrictions Saturday to attend the funeral of revered Muslim cleric Maulana Zubayer Ahmad Ansari.,0
"But Sanders’ growing popularity – even after expressing sympathetic views of Castro and other authoritarian regimes – underscores a problem for Florida Democrats, especially in South Florida, which has a large number of Cubans, Venezuelans and Nicaraguans whose families suffered under dictators.",0
The Washington Post offers a glimpse into its woke Taliban-occupied workplace.,1
"Abu Othman, like thousands of Kuwaiti men, has struggled to split his time between two wives living in separate homes amid the Gulf state’s strict lockdown to combat the coronavirus.",0
"While sexual ambiguity does occasionally occur, the authors note, “intersex individuals are extremely rare, and they are neither a third sex nor proof that sex is a ‘spectrum’ or a ‘social construct.’”",1
"Like other autocrats and de facto crime bosses, Trump rewards his servants' loyalty to further cement his control over them.",1
The World Health Organization (WHO) declared Thursday that the deadly coronavirus that has killed 171 people in China and spread to nearly 20 countries is now a global health emergency.,0
"And in return for the value you have created, the employment you have provided and the tax revenue you have generated, all you get is a bunch of chippy socialists and whiny Remoaners accusing you of being selfish, greedy, and unpatriotic.",1
Social media users are sharing a video in which a man says he works for Black Lives Matter (BLM) and has been told by its “CEO” to get a white woman to kneel and apologize for her white privilege.,0
"This is what Breitbart News has reported, based on publicly available data ignored by the anti-tariff crowd for over a year. ",1
"Trying to bar women from abortion is bad enough in regular times, but it seemed even more sadistic during a pandemic and an economic crash, when financial and health concerns weigh more heavily than ever on women deciding whether or not continue pregnancies.",1
You’ve heard of Jim Crow and Southern Segregation…? That was ALL Democrats.,1
"In a nationwide conversation about next steps and change, Democrats' calls to defund police departments have grown louder over the last week -- believing reform is not enough to put an end to police violence.",0
"President Donald Trump says that voting by mail is “horrible” and “corrupt” because the “tremendous potential for voter fraud” helps Democrats win elections. But county-level election supervisors in his home state of Florida — where he recently cast a vote for himself, by mail — disagree, and are doing everything they can to ensure this crucial swing state can hold a safe election during the coronavirus pandemic.",0
"But as early as this month, the U.S. Supreme Court could issue a decision that would mean the end of deferred action for Paz and hundreds of thousands of other young immigrants.",0
"Those areas have been plagued for years by gun and gang-related violence, including Englewood and West Garfield Park.",1
"A trio of polls released ahead of Wednesday’s Democratic presidential debate showed a majority of Americans support Medicare for All, but offered conflicting signals about whether the proposed healthcare overhaul could hurt the party in the November 2020 general election.",1
"U.S. Attorney General William Barr mounted a partisan attack on the Democratic Party in an interview that aired Sunday, claiming the left believes in “tearing down the system” and pursues absolute victory as “a substitute for religion.”",0
"Wealth taxes have been tried in many European countries, with limited success.",1
"n Dr. King's day, that other America was, for a time, laid bare to the nation through mass social unrest and political change, through the bold actions of the freedom fighters who won the Voting Rights Act and then just kept on fighting, as well as governmental programs like the ""War on Poverty.""",1
"Over the past few decades, RFK Jr.’s famous name has helped him get in the door to talk to important people, and it probably isn’t long before the person who is all jacked up to meet a Kennedy realizes the guy is totally cray-cray.",1
"Of course, this is not the first time that Gaga has pushed the idea of endemic racism.",1
"But the Democratic majority in the House has already passed sweeping gun legislation, in addition to many other measures.",0
"For most of his presidency, the Republican has demanded sharp cuts to legal immigration, and has made this a non-negotiable element of any deal.",0
