text,slant,nonpartisan,slight-partisan,hyperpartisan
Savannah mayor to require masks in businesses or face fines,1,0,1,0
"Coronavirus live updates: Grand Princess cruise, Washington cases",1,0,1,0
Trump gets ridiculed for giving 'one of his most dishonest speeches' with a deluge of lies at the White House,2,0,0,1
DOJ: Criminal Probe Into George Floyd’s Death a ‘Top Priority’,2,0,0,1
These Black teens are turning 18 in Tamir Rice's America,1,0,1,0
"Alphabet Inc's Google launches Google TV, new Chromecast",0,1,0,0
"U.S. coronavirus cases approach one million, one-third of global infections: Reuters tally",0,1,0,0
Here's where the jobs are â€” in one chart,0,1,0,0
&#x27;QAnon&#x27; conspiracy theory creeps into mainstream politics,1,0,1,0
Fmr. U.S. Commerce Secretary: Biden will create an environment where companies and workers can thrive,0,1,0,0
"Asian stocks fall on worries over rising virus cases, US aid",1,0,1,0
"Coronavirus updates: Pfizer, BioNTech vaccine candidates get 'fast track'; Germany aims to avoid second wave",0,1,0,0
Vice President Mike Pence discloses donors who helped pay nearly $500K in legal bills from Mueller investigation,1,0,1,0
Palantir close to registering for stock market debut: sources,0,1,0,0
US judge: IRS can't keep coronavirus money from inmates,1,0,1,0
"Fast Take: U.S. housing boom good for some voters, leaves others in the cold",0,1,0,0
PR Firms Are Being Shamed For Helping Fossil Fuel Companies ‘Green’ Their Image,2,0,0,1
Sen. Rand Paul's attacker receives longer prison sentence,1,0,1,0
Too big to read: Giant bill a leap of faith for Congress,1,0,1,0
Are Temperature Checks Effective In Stopping Coronavirus Spread?,2,0,0,1
"Electoral College makes it official: Biden won, Trump lost",1,0,1,0
Pulitzer Prize-winning historian issues dark warning about Trump’s GOP,2,0,0,1
'Starve the Postal Service': Obama criticizes Trump for sweeping changes at the USPS,1,0,1,0
"Pro-Graham Group Runs Ad Linking Rival Harrison to ""Looting' and ""Rioting""",2,0,0,1
"Op-Ed: UAE-Bahrain deals with Israel offer chance at a 'warm peace,' economic growth and a moderate Mideast alliance",0,1,0,0
"Few Migrants Reverse Course After Guatemala’s President Threatens Detention, Deportation",2,0,0,1
"Selling tech to restaurants made Toast a $5 billion start-up — a month later, the coronavirus struck",0,1,0,0
Americans Just Got A Glimpse Of Presidential Crisis Management,2,0,0,1
"Tesla, Apple among firms accused of aiding child labor in Congo",0,1,0,0
Breakingviews - Cox: Reverting to mean is weak economic message,0,1,0,0
"Klobuchar is ending her presidential bid, will endorse Biden",1,0,1,0
Delaware Computer Shop Owner Behind Biden Corruption Leaks Sues Twitter for Defamation,2,0,0,1
Trump's Pentagon Secures $3.8B to Build 177 Miles of Border Wall,2,0,0,1
"US STOCKS-S&P 500, Dow struggle for direction after three-day rally",0,1,0,0
UK says Russia tried to meddle in election by leaking U.S. trade documents,0,1,0,0
Trump supporters protest outside Arizona vote center,0,1,0,0
"Australian Reporters Violently Moved On Live TV By Riot Police During DC Protests, Prime Minister Demands Investigation",2,0,0,1
US commander paints grim picture of US-Taliban peace accord,1,0,1,0
Democrats — and the U.S. — won’t have a future if Biden adopts a centrist agenda,2,0,0,1
"With stricken cruise ship, Japan draws criticism over coronavirus response",0,1,0,0
Perhaps No One Told Trump How Vote Counting Works. Twitter Is Here To Help,2,0,0,1
"Gov. Cuomo says New York needs ventilators now, help from GM, Ford 'does us no good'",0,1,0,0
Pennsylvania Elections Board Seeks Justice Amy Coney Barrett’s Recusal in Voting Case,2,0,0,1
"A beautiful, empty vase: The strange emptiness of the new Melania Trump biography",2,0,0,1
"Sen. Mitt Romney questions Sen. Ron Johnson's investigation of Joe Biden, says it has 'earmarks of a political exercise'",1,0,1,0
"Trump extends drilling ban off North Carolina, Virginia",0,1,0,0
"Coronavirus vaccine from Moderna appears safe, shows promise in data from eight people",0,1,0,0
China committed to Phase 1 trade deal despite pandemic- U.S. official,0,1,0,0
'We are floating around the ocean': Cruise ship with no coronavirus shut out of ports,1,0,1,0
'Terrified of dying': Immigrants beg to be released from immigration detention as coronavirus spreads,1,0,1,0
Trump says U.S. would hit 52 Iranian sites if American targets attacked,0,1,0,0
Democrats line up vote on COVID-19 stimulus plan as deal with White House remains out of reach,1,0,1,0
"Rand Paul, Andy Biggs: Anthony Fauci wants America closed until there's nothing to reopen",1,0,1,0
Ward: 'Are We Going to Go to the Supreme Court of the U.S.? Maybe',2,0,0,1
U.S.'s Mnuchin offers $1.6 trillion in stimulus - Bloomberg News,0,1,0,0
"Taiwan to stop local sales for Chinese TV streaming services, not block them",0,1,0,0
Oprah Winfrey takes on racism in new TV discussion series for Apple TV+,0,1,0,0
G20 leaders to convene remotely as coronavirus cases near half a million,0,1,0,0
"Nearly 50% Approve Of Trump’s Performance, Poll Finds",2,0,0,1
Riots Continue: Portland Protesters Light Severed Pig Head with Police Hat Ablaze,2,0,0,1
Texas governor shuts down drop-off sites for early mail votes,1,0,1,0
Cruise ship passengers await Florida deal allowing them to disembark,0,1,0,0
"Exclusive: Juul halts Indonesia e-cigarette sales, throwing Asia expansion in doubt",0,1,0,0
Trump Copies New Orleans’ Tragic 1853 Yellow Fever Playbook,2,0,0,1
Congress Agrees On Coronavirus Relief Package After Months Of Negotiations,2,0,0,1
"AOC calls Amazon jobs a 'scam' because more than 4,000 of its employees are on food stamps",1,0,1,0
"Trump team, Senate Republicans agree on coronavirus aid offer to Democrats",0,1,0,0
Journalist Mehdi Hasan on Trump’s Iran warmongering: ‘What kind of maniac risks such a war in the middle of a global pandemic?’,2,0,0,1
The Latest: Regents to vote on scrapping ACT/SAT submissions,1,0,1,0
Arkansas state prosecutor was fired for speaking out against jail time for people who fall behind on rent,2,0,0,1
"The coronavirus outbreak is a 'different kind of crisis,' says Nobel laureate Joseph Stiglitz",0,1,0,0
'D.C. Sniper' Malvo can seek parole after change in Virginia law,0,1,0,0
"Too much TV? Enter HBO Max, the latest streaming wannabe",1,0,1,0
"Amy Coney Barrett: Girl Scouts tweet, delete congratulations post",1,0,1,0
"NIH director 'puzzled' by politicization of COVID protection efforts, Trump's Michigan rally",1,0,1,0
"Libertarian spoiler in U.S. presidential election? Not a chance, experts say",0,1,0,0
Fact check: Kentucky attorney general is not married to a relative of Mitch McConnell,1,0,1,0
White House's Birx denies 'herd immunity' policy under consideration,0,1,0,0
U.S. trial accusing Trump foe Avenatti of Nike extortion kicks off,0,1,0,0
How to watch the first presidential debate between Joe Biden and Donald Trump,1,0,1,0
Exclusive--Tragesser: New York’s Green Light Law Facilitates Behavior Found in 9/11 Attacks,2,0,0,1
"For COVID-19, vaccine offers light at the end of a dark winter",1,0,1,0
Floridians ask judge to declare Trump debating &quot;a public nuisance&quot; so he doesn’t spread COVID,1,0,1,0
Criminal Complaint Filed In North Carolina Against Postmaster General Louis DeJoy,2,0,0,1
"O.J. Simpson Addresses The State Of Policing In America, Says Good Cops Have To Report Bad Ones",2,0,0,1
Biden officially secures enough electors to become president,1,0,1,0
"American manufacturers pine for home as COVID disruptions, Trump tariffs shake up supplies",1,0,1,0
Michigan man imprisoned for nearly 4 decades exonerated after witness admits to lying,1,0,1,0
McConnell plans coronavirus aid vote as Pelosi says White House stimulus plan falls short,0,1,0,0
Blue State Blues: The Trumpian Virtues,2,0,0,1
"Coronavirus cases rise to nearly 650 worldwide, Singapore confirms first infection",0,1,0,0
Here’s your Tuesday primary rundown: Republicans fear a potential disaster in Kansas Senate contest,2,0,0,1
"As fever checks become the norm in coronavirus era, demand for thermal cameras soars",0,1,0,0
California rejected 100K mail-in ballots because of mistakes,1,0,1,0
"Sanders heads to big win in Nevada caucuses, Biden in second place",0,1,0,0
The Putin defense: How far will Donald Trump go now to stay in power?,2,0,0,1
"In California: More contagious COVID-19 variant arrives, and 'most' Hollywood productions on hold",1,0,1,0
Trump Fires Inspector General Who Sounded Alarm On Ukraine Call,2,0,0,1
"Voting 2020 live updates: Will Californians, Coloradoans, fleeing wildfires gain extension? Judge tosses out Michigan ban on guns at polls",1,0,1,0
Lindsey Graham Praises Jill Biden As ‘An Outstanding Person’ After DNC Speech,2,0,0,1
Stampede kills 56 at slain general's funeral as Iran vows revenge on U.S.,0,1,0,0
Ghislaine Maxwell urges U.S. appeals court to keep damaging deposition secret,1,0,1,0
MSNBC&#39;s Chris Matthews wants to know what Bernie Sanders thinks of Fidel Castro,1,0,1,0
McCarthy: FBI Briefing Revealed Swalwell Should Not Have Been Allowed or Continue to Be on Intel Committee,2,0,0,1
EXCLUSIVE: Rep. Gaetz Reveals What Went Down At Camp David With President Trump,2,0,0,1
UPDATE 1-Russia extends house arrest of U.S. investor Calvey until May 13,0,1,0,0
Chicago Mayor Defends Freeing Illegal Alien Accused of Child Sexual Assault,2,0,0,1
"California Woman With Mystery Coronavirus in Serious Condition, Says Report",2,0,0,1
"Progress is why viruses aren't named after locations anymore, experts say",1,0,1,0
"Fact Check: DNC Praises Joe Biden, Andrew Cuomo for Pandemic Response",2,0,0,1
Explainer: Inside Trump's proposal to suspend legal immigration amid the coronavirus crisis,0,1,0,0
Boeing's fraying 737 MAX suppliers see capacity crunch,0,1,0,0
Amy Coney Barrett won't stand up for women the way Ruth Bader Ginsburg did,1,0,1,0
How child abusers and other criminals are exploiting COVID-19 realities,1,0,1,0
10 places that prove Grand Rapids is the craft beverage capital of the U.S.,1,0,1,0
Exclusive: Venezuela asks Bank of England to sell its gold to U.N. for coronavirus relief - sources,0,1,0,0
The 10 Best Streaming Shows From 2020 You Might Have Missed,2,0,0,1
Facebook To Pay $52 Million To Content Moderators Suffering From PTSD,2,0,0,1
16 Trump officials committed at least 60 Hatch Act violations in October to benefit president's reelection: report,2,0,0,1
Joe Biden's search for a running mate enters final stretch,1,0,1,0
Reopening May Be Especially Dangerous for Georgia’s Black Community,2,0,0,1
Americans should cover faces and also keep distance: Dr. Fauci,0,1,0,0
U.S. appeals court wary of Justice Department bid to drop case against ex-Trump adviser Flynn,0,1,0,0
UN study: 1 of every 3 Venezuelans is facing hunger,1,0,1,0
"Tapper: Trump Stands Firm With One Group of Generals—'Dead, Racist Losers'",2,0,0,1
Poll: Majority of Americans Fear Second Wave of the Coronavirus,2,0,0,1
NY Gov. Andrew Cuomo Calls On Trump To Use Military In Coronavirus Fight,2,0,0,1
Plan advances to allow dismantling Minneapolis Police Dept.,1,0,1,0
"Sanders, Buttigieg Get Enough Cash to Make 2020 a Long Race",1,0,1,0
"One week after deadly barrage, the South braces for another wave of severe thunderstorms, tornadoes",1,0,1,0
Fast-moving new coronavirus strain in England raises alarms,1,0,1,0
Mark Cuban: The NBA has an 'advantage' over the NFL with player pandemic safety,0,1,0,0
Europe's Covid outbreak emerged in Italy — here's what's happening there now,0,1,0,0
Trump wants 7.6% payroll tax cut to help staunch coronavirus economic pain: Kudlow,0,1,0,0
Polish leader signs deal enhancing US military presence,1,0,1,0
U.S. Congress passes bill that could delist Chinese stocks from U.S. markets,0,1,0,0
"Stocks making the biggest moves in the premarket: Concho Resources, Halliburton, AstraZeneca & more",0,1,0,0
There’s No Coronavirus Plan. There’s Just Donald and Jared.,2,0,0,1
"Trump wanted Ivanka as his 2016 running mate, says former deputy campaign manager",1,0,1,0
"Joe Biden: Some Claims About Hunter's Dealings 'Russian Disinformation,' No Discussion of Son in Search for AG",2,0,0,1
Greek Orthodox Petition UN Over Turkey's Decision To Turn Hagia Sophia Into A Mosque,2,0,0,1
New F-150 design consumed his life — and inspired his house,1,0,1,0
New report finds Trump is haunted by the possibility of prosecution if he loses,2,0,0,1
HHS Secretary Azar says Pfizer is expected to file FDA application for coronavirus vaccine Friday with Moderna soon to follow,0,1,0,0
Ex-Trump DHS Official Condemns ‘Dangerous’ President In Scathing Op-Ed,2,0,0,1
US and Italy – current and former COVID-19 epicenters – are worlds apart in pandemic approach,1,0,1,0
YouTube Nixes Video Of Rand Paul Mentioning The Alleged Whistleblower&#8217;s Name During Trump&#8217;s Trial,2,0,0,1
FX's Roe V. Wade Documentary to Spotlight 'Jane Roe' Norma McCorvey's Journey from Pro-Choice to Pro-Life,2,0,0,1
Disney set to report fourth-quarter earnings after the bell,0,1,0,0
"Out of pandemic crisis, what could a new New Deal look like?",1,0,1,0
"US STOCKS-S&P 500, Dow drop from record levels as coronavirus cases spike",0,1,0,0
Michael Flynn case dismissed: Judge Sullivan's novel actions served injustice,1,0,1,0
Goldman Sachs CEO: Remote work policies could 'attract' new employees after the coronavirus pandemic is over,0,1,0,0
White men accused of killing Ahmaud Arbery won't face hate crime charges. Here's why.,1,0,1,0
Impeach him again,2,0,0,1
Fairfax County School Board Votes To Name Robert E Lee High School After The Late Rep John Lewis,2,0,0,1
Another Migrant Caravan Is Heading For The U.S. Border | The Daily Wire,2,0,0,1
The Big Hole in Biden and Trump’s COVID Vaccine Plans,2,0,0,1
Asia contained the coronavirus at home. Now it faces an imported threat from the West,1,0,1,0
"Black founders receiving more venture capital spurs innovation, says entrepreneur Morgan DeBaun",0,1,0,0
Jason Chaffetz: Why Does Adam Schiff Have A Security Clearance When ‘He Continues To Lie’,2,0,0,1
Disney is set to report earnings after the bell as the pandemic has disrupted its theme parks and cruise businesses,0,1,0,0
Why Mitch McConnell loves the filibuster — and why Democrats need to destroy it,2,0,0,1
Fmr Clinton Defense Secretary Cohen Calls for New Party -- 'Shameful' GOP Trying to 'Overturn Votes of Minorities',2,0,0,1
"Fauci warns COVID-19 vaccine may be only partially effective, public health measures still needed",1,0,1,0
Voices from U.S. protests against police brutality: 'You can't just sit on the sidelines',0,1,0,0
Confusion as coronavirus vaccine rolls out in Manatee-Sarasota,1,0,1,0
Durant among 4 Nets to test positive for new coronavirus,1,0,1,0
"Will Trump give a concession speech or congratulate Biden? If not, he'll break more than a century of tradition",1,0,1,0
Rep. Jim Banks Saw Coronavirus Threat Coming as Democrats Pushed Impeachment,2,0,0,1
"Even with $1 trillion stimulus, hit to economy and employment from virus will be big",0,1,0,0
"Japan, U.S. pull nationals from China as virus toll jumps",0,1,0,0
Coronavirus updates: New York 14% positive; House OKs $484B stimulus,1,0,1,0
"Exclusive — Treasury’s Monica Crowley on U.S. Reopening: ‘Rebound Will Be, Hopefully, as Quick as the Shutdown’",2,0,0,1
Coronavirus: US still isn’t prepared with enough masks as rates surge,1,0,1,0
"As concern grows, China, South Korea report more virus cases",1,0,1,0
Chris Wallace Adds Climate Change Question into Debate Despite Not Being on Topic List,2,0,0,1
Here's what happened to the stock market on Friday,0,1,0,0
U.S. Justice Department asks court to block California net neutrality law,0,1,0,0
Trump boasts about his Covid response after largely ignoring crisis during deadliest month yet,0,1,0,0
"As racial tensions turn violent, a careful balancing act for Biden",0,1,0,0
Matthew McConaughey Calls Out ‘Arrogant’ Far Left Who ‘Condescend and Patronize’ Conservatives,2,0,0,1
"Harry And Meghan Have Sights Set On U.S. City, But Won’t Move Until Trump Is Out Of Office",2,0,0,1
Goldman Sachs says the only other commodity 'looking as precarious as oil' is livestock,0,1,0,0
"George Floyd protests, Strawberry moon, Trump visits Maine: 5 things to know Friday",1,0,1,0
South Korea bans anti-North leaflets; defector says he won't stop,0,1,0,0
"WRAPUP 3-WHO chief says confident in China's ability to contain virus, urges calm",0,1,0,0
Trump says he&#x27;s taking malaria drug to protect against virus,1,0,1,0
U.S. cruise industry will extend suspension through December 31,0,1,0,0
Jay Clayton says he will step down early as head of the SEC at the end of 2020,0,1,0,0
Why the polls were wrong about Trump (again),1,0,1,0
Here’s the ‘real threat’ Trump poses this election year — and why we must be ready,2,0,0,1
Fact check: Oprah Winfrey's sexual grooming comment lacks context,1,0,1,0
"Morning News Call - India, April 30",0,1,0,0
Michael Cohen Makes Chilling Prediction About Trump And The Constitution If He Wins,2,0,0,1
"Trini Lopez, 1960s-era singer mentored by Sinatra, dies",1,0,1,0
NYT Op-Ed: 'I’m a Liberal Who Thinks Immigration Must Be Restricted',2,0,0,1
Trump preparing to invoke emergency powers over coronavirus,1,0,1,0
GOP Senators Waste No Time Investigating Hunter Biden After Impeachment Acquittal,2,0,0,1
"Donald Trump's lawyers say impeachment case is insufficient, unconstitutional",1,0,1,0
Pandemic poses challenges for Argentines seeking therapy,1,0,1,0
China’s Deadly Coronavirus Cover-Up Is Getting Worse as First Case Hits U.S.,2,0,0,1
"Trump campaign raises hefty $210 million in August, but it's well short of Biden's record haul",0,1,0,0
"Pence has 'great respect' for Joint Chiefs Chair Mark Milley, won't say if he agrees church visit was a 'mistake'",1,0,1,0
"US STOCKS-Wall St falls after gloomy economic data, bank earnings",0,1,0,0
"US sets coronavirus infection record; deaths near 224,000",1,0,1,0
CNN's Don Lemon: Trump 'Declaring War on Americans' -- 'Teetering on Dictatorship',2,0,0,1
"Coronavirus live updates: Malaysia closes border, Italy death toll crosses 2,500",0,1,0,0
UPDATE 2-LVMH's takeover of Tiffany seen as uncertain -WWD,0,1,0,0
Employees worried about Valero response to virus cases at Texas refinery -sources,0,1,0,0
"Fay weakens to tropical depression over southeastern New York, NHC says",1,0,1,0
"Sean Hannity Warns Armed Michigan Protesters: Not Helping Your Cause, Putting Police At Risk",2,0,0,1
The GOP is trying to prevent people from legally fixing errors on their ballots,2,0,0,1
Strzok: Text to 'Stop' Trump 'Was an Off the Cuff Comment Made Outside of Any Work Context Whatsoever',2,0,0,1
Wisconsin Gov. Tony Evers shuts down Tuesday's election because of coronavirus surges,1,0,1,0
The Key Point About Joe Biden’s National Security Picks: It’s Truly The Biden Show,2,0,0,1
Los Angeles mayor says turned down job in Biden administration,0,1,0,0
"Coronavirus updates: U.S. tops 9 million cases as Trump, McConnell and Pelosi torn on relief timeline",0,1,0,0
"U.S. Embassy in Seoul, South Korea, Unfurls Giant Black Lives Matter Banner",2,0,0,1
Ossoff condemns GOP attempt to ax health care law,1,0,1,0
Trump's COVID failure is worst in US history. We need a new president.,1,0,1,0
Zuckerberg's Cheap-Labor Group: 'Defend Black Lives',2,0,0,1
Senate fails to override Trump's veto of Iran war resolution that would have curbed his ability to launch a strike,1,0,1,0
There’s Nothing Better Than Waking Up To A Tweet From The President Of The United States Of America,2,0,0,1
Biden said he will win Scranton. Trump said he will only lose if it's rigged. Who's right?,1,0,1,0
Trump golf club asks Palm Beach County to allow deferral of its rent because of pandemic,1,0,1,0
Bolton Revelation May Scramble Trump’s Trial,1,0,1,0
Nissan unveils Ariya crossover as first new all-electric vehicle under turnaround plan,0,1,0,0
"18 complaints in 19 years, and a murder charge: What we know about ex-Minneapolis police officer Derek Chauvin",1,0,1,0
NATO chief says US to consult allies on future troop plans,1,0,1,0
Vermont City Council Rejects American Flag Art After Pushing Through ‘Emergency’ BLM Street Mural,2,0,0,1
Senate Democrat says Republican leader's plan to resume work puts lives in danger,0,1,0,0
"Turkey Reconverts Another Church Into Mosque, Angering Christians And International Leaders",2,0,0,1
Iraq wants foreign troops out after air strike; Trump threatens sanctions,1,0,1,0
2 Stanford economists win Nobel prize for improving auctions,1,0,1,0
Pelosi: Republicans Who Support Trump Will Have ‘Major Doggy Doo On Their Shoes’,2,0,0,1
Trump campaign sues to block mail-in ballot rule changes,1,0,1,0
"France's Macron tells Biden ready to work together on climate, security: Elysee",0,1,0,0
Coronavirus Death Toll Rises to 259 in China as U.S. Confirms Seventh Case,2,0,0,1
"China must guard against rebound in shadow lending, banking regulator warns",0,1,0,0
Nevada Gov. Steve Sisolak: Trump's Threat to Withhold Funds over Mail-in Voting 'Outrageous',2,0,0,1
"7 months into the pandemic, small business owners don't know how much longer they can hold on: 'We are in survival mode'",0,1,0,0
U.S. charges 18 Portland protesters as it sends tactical police to Seattle,0,1,0,0
"Mexico tops 70,000 official COVID-19 deaths, but toll likely far higher",0,1,0,0
U.S. agency needs new powers to protect local news industry: senator,1,0,1,0
Your Health Care Is the Love Child of Science and Insurance,2,0,0,1
'Truly alarming': Officials order shutdown over virus spike,1,0,1,0
Rioter In ‘Anarchist Jurisdiction’ Of Seattle Hits Police Officer In Back Of Head With Baseball Bat | The Daily Wire,2,0,0,1
Federal Lawsuit Challenges Maryland 'Assault Weapons' Ban,2,0,0,1
Conservation groups sue BLM over California fracking plan,1,0,1,0
EMERGING MARKETS-EM stocks rise as Middle East tensions thaw; currencies firm,0,1,0,0
COVID-19 Is Killing Italy’s Doctors. The U.S. Could Be Next.,2,0,0,1
Trump aides begin discussions on Israel's West Bank annexation plan: sources,0,1,0,0
Fact check: Photo does not show Jill Biden with Fidel Castro,0,1,0,0
"On vegetable farms, growers grapple with harvest demands and coronavirus risks",1,0,1,0
COVID news: August cases; Usain Bolt; American Airlines; FDA on plasma,1,0,1,0
"U.S. CDC reports 1,571,617 coronavirus cases, 94,150 deaths",0,1,0,0
"Top Disease Expert: Virus Testing Is A ‘Failing,’ Leaving Cases Uncounted",2,0,0,1
Panama greenlights funds to buy AstraZeneca's planned coronavirus vaccine,0,1,0,0
FEMA ordered $10.2 million in COVID-19 testing kits. It’s now warning states not to use them,2,0,0,1
Q&amp;A: Will the Trump administration be able to ban TikTok?,1,0,1,0
Trump says he will not do a virtual debate,0,1,0,0
"""Lawful but awful"": U.S. self-defense laws questioned after Breonna Taylor's death",1,0,1,0
Trump says new guidelines aim to lift some restrictions,1,0,1,0
'Nobody likes him' - Hillary Clinton bashes Bernie Sanders,0,1,0,0
Japan's 'Jo Baiden' feels affinity to U.S. president-elect,0,1,0,0
Ga. Sen. Perdue boosts wealth with well-timed stock trades,1,0,1,0
"Australia shares drop as vaccine trials halt, stimulus hopes fade",0,1,0,0
U.S. health department asks labs to add demographic data to COVID-19 results,0,1,0,0
Kayleigh McEnany Once Had Some Pretty Nice Things To Say About Joe Biden | HuffPost,2,0,0,1
Revealed: How Covid Has Made The UK's Bitter Housing Crisis Even Worse,2,0,0,1
'Must-read for all of humanity': Oprah Winfrey continues race conversation with 'Caste' author Isabel Wilkerson,1,0,1,0
"Dow gains more than 400 points after big tech rally, Amazon and Netflix hit records",0,1,0,0
"USPS needs major reforms, not a bailout",1,0,1,0
RNC CHAIR MCDANIEL: Our Economy Is Making A Comeback As America Transitions To Greatness,2,0,0,1
‘Wow’: Tweeters Salute Adam Schiff’s ‘Moving’ Closing Argument In Trump Trial,2,0,0,1
Fox News’ Pete Hegseth: We Need to ‘Rewrite the Rules’ of War in Dealing With Iran,2,0,0,1
Oil slips as focus shifts from Iran tensions to U.S. crude build,0,1,0,0
Officials Push Back On Claim That Russia Trying To Help Trump Win: ‘No Intelligence Behind It’,2,0,0,1
Districts jettison school police officers amid protests,1,0,1,0
"In Kenosha, Biden tries to thread the needle on protests and violence",1,0,1,0
How hip hop's love of the iconic yellow workboot helped make Timberland a billion-dollar company,0,1,0,0
Second COVID-19 wave forces new travel curbs around the globe,0,1,0,0
Guatemala COVID-19 chief headed back to Colorado medical job,1,0,1,0
"UPDATE 3-ViacomCBS profit and revenue disappoints, sinks shares",0,1,0,0
EXCLUSIVE: Jim Jordan Calls On Nadler To Help Obtain Trump-Russia Documents Before Barr Hearing,2,0,0,1
Long line of Israeli-Palestinian peace bids precede Trump push,0,1,0,0
French arrest 29 in cryptocurrency scheme to finance jihadis,1,0,1,0
Guatemalan wrongly deported amid coronavirus crisis is reunited with family in U.S.,1,0,1,0
Rome airports announce shutdowns as Italy becomes coronavirus pariah,0,1,0,0
"Kamala Harris brings anti-Trump energy to Biden's ticket, but her law enforcement record poses risks",0,1,0,0
Iowa Democrat Theresa Greenfield Refuses to Back Sarah's Law to Strengthen ICE Detention,2,0,0,1
Arizona Doctor Went Public About ICU Beds—and Says He Was Axed,2,0,0,1
'I deserved it': Djokovic gets obscenity warning in SF win,1,0,1,0
"Royal Caribbean withdraws 2020 forecast, boosts liquidity amid coronavirus fears",0,1,0,0
READ IT: GAO’s Report On White House Withholding Ukraine Aid: Violated Law,2,0,0,1
‘OPEN THE SCHOOLS’: President Trump Calls For Defunding Schools That Remain Shuttered,2,0,0,1
"Trump Claims, Without Cracking Up, That He Didn’t Want to ‘Scare People’ With Truth About COVID",2,0,0,1
"Struggles in India, Brazil, US show virus fight far from won",1,0,1,0
Another Plane Heads To Wuhan To Bring Home Remaining Canadians,2,0,0,1
"Doctors, nurses must make hard decisions in pandemic. Let's protect them from lawsuits.",1,0,1,0
Wisconsin Foxconn plant hailed by Trump hasn't hired enough people to get tax credits,0,1,0,0
Disturbing coronavirus surges in the Sun Belt threaten Trump’s reelection prospects — and could seriously benefit Biden,2,0,0,1
Michigan governor to take national stage to rebut Trump,1,0,1,0
Republican senators are committing political suicide,2,0,0,1
Paratrooper exercise is all about preparation - and the jump,1,0,1,0
Bill O’Reilly Tells Sean Hannity: People In Poverty Live Very Well,2,0,0,1
"Morning News Call - India, April 20",0,1,0,0
Eight U.S. states cast ballots on biggest voting day since coronavirus pandemic,0,1,0,0
"Big city, big worry: New Yorkers fret as bustling city slows",1,0,1,0
'Same blunders': Does California cruise ship risk a repeat of 'failed' Japan coronavirus quarantine?,1,0,1,0
U.S. lawmakers want 9/11-style commission to probe coronavirus crisis,0,1,0,0
Lockdowns leave poor Latin Americans with impossible choice: stay home or feed families,1,0,1,0
Dr. Anthony Fauci says U.S. coronavirus cases are 'unacceptably high' going into Labor Day,0,1,0,0
"Demand for jobless aid high, even as economy slowly picks up",1,0,1,0
Former Bush White House lawyer: 'The United States will become a dictatorship if we keep going along this path with Donald Trump',2,0,0,1
"New Hampshire primary fallout, coronavirus, heavy rain swamps South: 5 things to know Wednesday",1,0,1,0
India curbs diagnostic testing kit exports as virus spreads,0,1,0,0
"Joe Biden picks for top jobs: A spy chief who fixes cars, an envoy who practices 'gumbo diplomacy'",1,0,1,0
Sen. Rand Paul filing bill to ban no-knock warrants following Breonna Taylor death,1,0,1,0
James Murdoch Quits News Corp Board Over Editorial Disagreements,2,0,0,1
Origins Of The Coronavirus Pandemic: What We know So Far,2,0,0,1
Top Senate Democrat says coronavirus bill has 'many problems',0,1,0,0
‘Stabbing Us in the Back’: United Airlines Cuts Worker Hours After Taking Relief Funds,2,0,0,1
Egypt's Sisi wins parliamentary approval for possible Libya intervention,0,1,0,0
Pelosi expects bipartisan House vote for $2 trillion coronavirus bill Friday,0,1,0,0
‘Health Thugs’: El Salvador's Gangs Reportedly Enforcing Coronavirus Quarantine,2,0,0,1
Supreme Court Considers 'Faithless Elector' Case,2,0,0,1
Factbox: Coronavirus in U.S. Congress: 15 members have tested or been presumed positive,0,1,0,0
Venezuela&#x27;s go-to test for fighting virus raising questions,1,0,1,0
Traveler sues Expedia for refusing refunds on canceled flights during COVID-19 pandemic,1,0,1,0
Democrats march forward with Trump's impeachment,0,1,0,0
"Taiwan president rejects Chinese rule, calls for talks to coexist",0,1,0,0
A White House lawyer reportedly tried to get The Wall Street Journal to scoop Hunter Biden's emails,1,0,1,0
Canadian Government Promises ‘Significant’ Financial COVID-19 Support,2,0,0,1
Judge Warns Julian Assange to Shut Up After Shouts of ‘Nonsense’ at Extradition Hearing,2,0,0,1
Arizona's largest county certifies Biden win over Trump,1,0,1,0
‘It&#39;s going to be harmful’: Republicans weaponize Trump team attacks on Biden,1,0,1,0
‘End Your ENDLESS VACATION!’: Trump Calls On ‘Do Nothing Democrats’ To Return To Washington,2,0,0,1
"The market's post-pandemic recovery could look a lot like 2008-09, Van Eck says",0,1,0,0
The Latest: Judge won't block NY plan to limit gatherings,1,0,1,0
"Former military doctors: Vote Biden, not Trump, for America's health, security and future",1,0,1,0
"Donald Trump hits back at Michelle Obama, calling her convention speech 'extremely divisive'",1,0,1,0
Romney Comes Out In Support Of Holding Vote On Next Supreme Court Nominee,2,0,0,1
‘AOC Isn’t Going To Like It’: Former ICE Chief Says He’s Setting The Record Straight On Border Security,2,0,0,1
"Wuhan suspends public transportation to combat coronavirus outbreak, state media says",0,1,0,0
"US calls on Afghans to set aside disputes, focus on virus",1,0,1,0
Canada to impose tariffs on $2.7 billion in U.S. goods after Trump reignites trade feud,0,1,0,0
Trump is literally a crying baby in Biden's post-debate ad,1,0,1,0
